"Source:","/home/antonio/dev/theia/THEIA/THEIA.kicad_sch"
"Date:","So 10 Apr 2022 12:37:45 CEST"
"Tool:","Eeschema 6.0.4-6f826c9f35~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","155"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Digi-Key_Part-Number","Digi-Key_Part_Number","Digi-Key_Part_number","Digi-Key_partNumber","GEOMETRY_HEIGHT","MANUFACTURER","MF","MP","Manufacturer","ORDERCODE-MANU1","PACKAGE","PRICE","VALUE"
"","","Q6","IRLZ44N-SPBF","knownParts:IRLZ44N-SPBF","Package_TO_SOT_SMD:TO-263-2","https://www.infineon.com/dgdl/irlz44nspbf.pdf?fileId=5546d462533600a40153567221272727","","","","IRLZ44NSPBF-ND","","","","","","IRLZ44NSPBF","Infineon Technologies","","","",""
"","","Q7","IRLZ44N-SPBF","knownParts:IRLZ44N-SPBF","Package_TO_SOT_SMD:TO-263-2","https://www.infineon.com/dgdl/irlz44nspbf.pdf?fileId=5546d462533600a40153567221272727","","","","IRLZ44NSPBF-ND","","","","","","IRLZ44NSPBF","Infineon Technologies","","","",""
"","","Q8","IRLZ44N-SPBF","knownParts:IRLZ44N-SPBF","Package_TO_SOT_SMD:TO-263-2","https://www.infineon.com/dgdl/irlz44nspbf.pdf?fileId=5546d462533600a40153567221272727","","","","IRLZ44NSPBF-ND","","","","","","IRLZ44NSPBF","Infineon Technologies","","","",""
"","","Q9","IRF7606PBF","ariadne-rescue:IRF5305-Reverse-Polarity-ariadne","Package_TO_SOT_SMD:TO-263-2","http://www.irf.com/product-info/datasheets/data/irf7606pbf.pdf","","","","IRF9540STRLPBFCT-ND","","","","","","IRF9540STRLPBF","Vishay Siliconix","","","",""
"","","Q10","S8050","Transistor_BJT:S8050","Package_TO_SOT_SMD:SOT-23","https://www.mccsemi.com/pdf/Products/MMSS8050(SOT-23).pdf","","","","","","MMSS8050-H-TPMSCT-ND","","","","MMSS8050-H-TP","Micro Commercial Co","","","",""
"","","Q11","~","Transistor_BJT:S8050","Package_TO_SOT_SMD:SOT-23","https://www.mccsemi.com/pdf/Products/MMSS8050(SOT-23).pdf","","","","","","MMSS8050-H-TPMSCT-ND","","","","MMSS8050-H-TP","Micro Commercial Co","","","",""
"","","R1","5K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","RG20P4.99KBCT-ND","","","","","","RG2012P-4991-B-T5","Susumu","","","",""
"","","R2","R10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","RNCP1206FTD10K0CT-ND","","","","","RNCP1206FTD10K0","Stackpole Electronics Inc","","","",""
"","","R3","~","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","RNCP1206FTD100RCT-ND","","","","","","RNCP1206FTD100R","Stackpole Electronics Inc","","","",""
"","","R4","5K","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","RG20P4.99KBCT-ND","","","","","","RG2012P-4991-B-T5","Susumu","","","",""
